?Codigo;Descricao;Unidade
171112;ELO FUS DISTRIB 15/36KV 3A H D138.01;PEÇ
171114;ELO FUSÍVEL TIPO 6K PM 0094 I6 R6;PEÇ
171116;ELO FUS DISTRIB 15/36KV 10A K D138.01;PEÇ
171117;ELO FUSÍVEL TIPO 12K  PM 0094 I9 R6;PEÇ
171118;ELO FUS DISTRIB 15/36KV 15A K D138.01;PEÇ
171119;ELO FUS DISTRIB 15/36KV 25A K D138.01;PEÇ
171120;ELO FUS DISTRIB 15/36KV 40A K D138.01;PEÇ
171121;ELO FUS DISTRIB 15/36KV 50A K D138.01;PEÇ
171122;CHAVE FUS AZ 15KV 100A C POLIM ET 277;PEÇ
171125;PARA RAIO 12KV 95kV CLASS E POLI GSCC016;UN
171140;PORTA FUSIVEL GRAMPO LINHA VIVA D2256 FP;PEÇ
171164;CHAVE  FUSIVEL RELIGADORA  24.2 KV (SUC);UN
171168;CHAVE FUSIVEL 15 KV 100A  8 KA NB(SUC);UN
171170;ELO FUSIVEL  DISTRIBUICAO  15/36.2K(SUC);UN
171183;SUPORTE AZ P/3 SEC FUS UNIP BT ETA133;UN
171193;PARA RAIOS  ESTACAO PORC  69KV TN (SUC);UN
171217;PARA RAIO MT REMOVIVEL 12KV  10 KA  60HZ;PEÇ
171221;PARA RAIOS DH T POL 30KV E GSCC016/10;PEÇ
171409;CHAVE FUSIV RELIG 3 OPER DQN 2138 FP;
180031;Seta luminosa direcional;CDA
180730;RGDAT A70/C RELE PROT E IND SUCATA;PEÇ
180746;RELIGADOR 400A 15 5KV 8KA 3F SUCATA;UN
180945;RELE  DIFERENCIAL DIGITAL P/TRAFO TRIFÁS;PEÇ
180946;RELE DIRECIONAL SOBRECORRENTE FASE 67 60;PEÇ
180948;RELE PROT 50/51 50/51G 50/51N 50/51Q;
181051;RELE IND 8A 250VCA 4REV 125V CC;UN
181052;RELE IND 16A 250VCA 3REV 125V CC;UN
200110;CAVALETE HIDRÁULICO COM FREIO A DISCO;CDA
200165;BASTAO MOV POSTE TIRANTE 1200MM ;PI
200173;CONEC TERM COMPR AL 95MM2 1F D71038;CDA
200186;SUPOR TRAFO POSTE CIRC 270MM TP1 D421.01;CDA
200207;GRAMPO LINHA VIVA TIPO 1 D710.70;CDA
200231;PARAF PRISI LATÃO M12 100MM PM BR480.03;CDA
200233;PARAF PRISI LATÃO M12 150MM PM BR480.03;CDA
200234;PARAF PRISI LATÃO M12 200MM PM BR480.03;CDA
200250;SUPORTE L ACO CARBONO PM BR410.35;CDA
200594;ALCA PREF DIST LIGA AL N NU 50MM2 D73006;CDA
200633;LAÇO PREF DIST LIGA AL N NU 50MM2 D73006;CDA
201256;PINO ISOL PILAR 34 5KV M16X28/16X60MM;PEÇ
201310;CON PRE ISO 1.5 2.5MM² CU GAR6.5 D770.05;UN
201317;CONC.TERM.CMP.MED 35MM2 ?=13 2MM D710910;UN
201318;TERM AGR CB POT 12/20KV 35 150MM2 D72521;UN
201365;LUVA EME COMP AL 2AWG PM C720.15 FP;UN
201366;LUVA.EMENDA.COMPRES.4AWGCAA.D72016;UN
201376;CONECTOR ATERR CU 16 70 D71025;UN
201381;SUPORTE P/CHAVE BY PASS  DED 1948 R.5;PEÇ
201383;CONEC TERM COMPR AL 95MM2 2F D71038;PEÇ
201384;ARRUELA LISA QUADRADA  DED 0036 R.3 FP;PEÇ
201385;ARRUELA LIGA DE ALUMÍNIO DED 1256;PEÇ
201386;CONECTOR PARAF.FEN P/COND.CU 16 35MM FP;PEÇ
201387;HASTE ANCORA AZ 16X2400 PM R 44501;PEÇ
201388;CONECTOR TERM COMPR CU 70MM2 2F D71048;PEÇ
201389;CONEC TERM COMPR AL 50MM2 2F D71038;PEÇ
201390;CONECTOR TERM COMPR CU 50MM2 2F D71048;PEÇ
201392;CONECTOR TERM COMPR CU 150MM2 2F D71048;PEÇ
201397;TERMINAL COMPR ANEL TUB 35MM2;PEÇ
201398;CONEC TERM COMP MED CB 70MM² PM2092I8R8;PEÇ
201399;SUPORTE P/DEGRAUS CX.SUBTERRAN DQN2135;PEÇ
201402;SUPORT FIX P RAIO TRAFO T2  I2 R0 PM2206;PEÇ
201406;CONEC TERM COMPR AL 25MM2 1F D71038;PEÇ
201407;CONEC TERM COMPR AL 150MM2 2F D71038;PEÇ
201410;CONECTOR TERM COMPR CU 240MM2 2F D71048;UN
201437;CONECTOR TERM COND AL 95MM PM2251I3R0;PEÇ
201439;CONECTOR CUNHA ATERR 4 7 8MM PM71040;PEÇ
201440;PINO TOPO ISOL PILAR AÇO GALV PM 2162 I2;PEÇ
201481;HASTE  ATERRAMENTO  ACO COBRE  2400(SUC);UN
201501;CB ACO CU ATERR 35MM² D80502 SUCATA;UN
201534;"HASTE ATERR AÇO COBR 5/8"" 2400MM D80001";UN
201626;CONEC CUN AL I10 D=27.02 31.22MM D71054;UN
201734;KIT BORNEIRA;
220025;CADEADO;CDA
220067;Barreira pantografica sanfonada;CDA
